Frame Time	 Render time
22719	22173
488	210
297	36
235	42
223	28
264	28
211	50
259	34
368	28
371	29
434	27
435	162
262	38
377	26
374	28
381	27
379	28
1293	29
410	52
394	28
393	38
399	33
399	31
402	31
401	31
391	32
405	31
391	31
396	31
395	31
405	31
402	32
1393	33
378	54
403	34
401	32
396	32
399	32
366	32
440	27
404	34
390	32
414	32
396	32
387	31
364	33
399	27
1693	27
546	51
392	34
402	32
403	32
394	32
402	32
398	32
410	32
389	32
395	32
401	31
429	32
1714	35
478	54
401	35
421	33
385	32
405	31
406	32
374	32
396	33
397	32
403	32
393	32
381	32
436	35
1371	35
343	53
427	34
396	32
403	34
397	32
401	32
398	32
401	32
405	33
411	32
401	32
392	31
413	35
387	32
1733	32
379	51
401	33
534	32
429	207
325	33
311	32
401	32
397	32
409	32
394	32
405	32
400	32
400	36
1347	34
384	49
398	33
394	32
407	32
394	32
395	32
403	32
398	32
406	32
391	32
395	32
419	32
395	31
404	34
1670	32
388	45
394	33
394	32
398	32
402	32
395	32
413	32
384	32
399	32
401	32
395	31
415	32
394	33
1322	31
393	40
396	32
399	32
422	32
398	31
402	31
379	31
408	31
397	31
400	31
402	31
398	31
401	31
399	31
1690	31
392	41
394	32
405	31
386	31
402	32
392	31
402	32
379	32
416	32
402	32
400	32
397	32
615	33
1397	96
552	45
401	34
394	32
384	32
414	31
397	32
403	32
393	31
397	32
402	32
395	34
359	32
432	103
1353	32
385	43
398	28
394	26
402	25
389	25
399	25
392	25
400	25
407	25
501	25
281	115
648	90
901	253
130	28
1350	29
393	38
409	26
404	25
392	25
401	25
409	25
393	32
394	26
396	25
402	25
394	25
406	25
363	96
1388	26
370	36
427	25
403	32
391	31
576	209
218	25
393	25
402	25
388	25
409	25
394	25
400	25
370	25
475	26
1658	32
384	114
395	33
401	31
400	33
397	31
395	31
398	31
384	31
411	33
401	31
397	31
411	31
401	32
1758	323
385	109
398	31
400	31
398	33
404	31
391	31
401	31
402	31
393	32
400	31
367	31
443	31
389	32
1366	32
379	42
397	32
417	31
350	97
394	27
396	26
398	25
397	25
399	25
397	25
400	25
395	25
461	25
395	32
1819	33
397	43
400	32
398	31
398	31
399	31
399	96
391	32
403	32
399	32
401	32
396	32
395	32
400	32
1621	32
406	41
383	32
400	32
395	31
398	31
408	31
391	31
395	32
395	99
401	32
438	32
339	170
412	31
1620	31
386	41
404	32
391	32
404	31
389	31
400	32
383	32
413	32
393	32
401	31
395	31
405	95
380	32
1697	31
389	41
390	32
406	31
401	31
556	31
236	33
412	32
389	32
398	31
392	33
382	32
445	26
489	32
1498	98
552	40
399	32
400	31
394	31
393	34
402	31
399	31
397	31
396	31
397	33
387	32
414	32
395	32
1709	32
387	114
399	32
382	32
412	32
394	31
403	32
393	32
398	32
400	32
399	32
393	32
420	31
380	32
1732	32
389	44
389	32
405	31
400	31
400	31
393	31
413	31
389	31
396	32
400	32
393	32
454	32
388	32
1796	32
386	42
395	32
398	32
399	32
400	32
399	32
390	32
405	32
400	32
395	32
395	32
410	32
381	32
1862	31
391	43
394	32
400	31
396	31
396	33
407	31
391	31
380	32
410	32
422	33
378	32
402	31
384	31
1656	31
386	42
407	32
390	34
400	32
393	32
399	32
406	31
390	32
392	31
402	31
403	31
415	31
382	34
1290	33
395	33
400	32
399	32
396	34
397	32
397	32
400	32
396	32
411	34
398	31
399	31
395	31
407	31
399	31
1408	31
396	33
400	31
394	31
396	31
401	31
398	31
397	31
384	31
410	31
399	31
398	31
387	31
570	31
378	281
1170	23
404	31
392	31
402	31
395	31
389	31
406	31
400	31
393	31
403	33
379	31
415	31
397	31
404	31
400	32
1221	31
401	32
395	31
400	30
388	30
405	31
398	31
394	31
404	31
393	31
399	31
392	31
407	31
392	31
401	31
1254	31
395	31
412	31
407	31
390	31
391	31
402	31
398	31
397	31
395	31
397	31
398	31
398	31
394	31
397	31
1302	31
394	33
397	31
397	31
395	31
405	31
393	31
398	31
397	31
441	31
394	31
398	31
396	31
398	31
407	31
1237	31
401	32
396	31
395	31
397	31
399	33
404	31
388	31
402	31
399	31
398	33
397	31
399	31
395	31
404	31
1182	32
405	49
396	31
393	32
404	31
395	30
397	30
399	30
401	32
392	30
399	30
396	30
399	30
394	32
393	31
408	31
1099	31
408	27
427	31
412	31
394	31
401	31
399	31
398	31
393	31
399	31
399	31
399	31
393	31
410	31
407	31
1161	31
395	32
397	31
390	31
393	31
403	31
396	31
397	31
401	31
395	31
401	31
395	31
399	31
399	31
409	31
1087	31
554	31
398	31
397	31
398	31
404	31
395	31
396	31
399	31
398	31
394	31
400	31
402	31
398	31
406	31
434	31
1136	30
396	32
393	31
398	31
394	31
334	31
